[2025-03-16T02:31:24.685819] Added Carrot at (5, 0).
[2025-03-16T02:31:24.689728] Added Eggplant at (1, 3).
[2025-03-16T02:31:24.690094] Added Eggplant at (6, 2).
[2025-03-16T02:31:24.690469] Added Corn at (1, 5).
[2025-03-16T02:31:24.690887] Added Lavender at (5, 5).
[2025-03-16T02:31:24.691169] Added Eggplant at (7, 5).
[2025-03-16T02:31:24.691433] Added Eggplant at (7, 3).
[2025-03-16T02:31:24.691676] Added Eggplant at (5, 3).
[2025-03-16T02:31:24.691988] Added Lettuce at (0, 1).
[2025-03-16T02:31:24.692177] Added Lettuce at (0, 3).
[2025-03-16T02:31:24.692489] Added Pumpkin at (3, 1).
[2025-03-16T02:31:24.692724] Added Lettuce at (4, 5).
[2025-03-16T02:31:24.692913] Added Eggplant at (2, 1).
[2025-03-16T02:31:24.693142] Added Corn at (6, 0).
[2025-03-16T02:31:24.693320] Added Carrot at (7, 2).
[2025-03-16T02:31:24.693511] Added Corn at (2, 0).
[2025-03-16T02:31:24.693699] Added Pumpkin at (7, 4).
[2025-03-16T02:31:24.693867] Added Corn at (6, 3).
[2025-03-16T02:31:24.694132] Added Carrot at (6, 5).
[2025-03-16T02:31:24.694336] Added Lavender at (0, 5).
[2025-03-16T02:31:24.694517] Added Lavender at (0, 0).
[2025-03-16T02:31:24.694738] Added Carrot at (5, 2).
[2025-03-16T02:31:24.694910] Added Eggplant at (2, 4).
[2025-03-16T02:31:25.802066] Water evaporated. Remaining water: 99500 ml.
[2025-03-16T02:31:25.808297] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:25.808646] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:25.808817] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:25.808996] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:25.809146] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:25.809312] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:25.809471] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:25.809749] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:25.809924] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:25.810079] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:25.810248] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:25.810395] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:25.810581] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:25.810754] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:25.810913] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:25.811087] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:25.811606] Harvesting system activated.
[2025-03-16T02:31:26.789573] Water evaporated. Remaining water: 99000 ml.
[2025-03-16T02:31:26.790119] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:26.790511] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:26.790646] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:26.790775] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:26.790902] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:26.791113] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:26.791288] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:26.791445] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:26.791682] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:26.791863] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:26.792017] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:26.792142] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:26.792270] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:26.792396] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:26.792517] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:26.792671] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:26.792827] Harvesting system activated.
[2025-03-16T02:31:27.789469] Water evaporated. Remaining water: 98500 ml.
[2025-03-16T02:31:27.789882] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:27.790466] Watering system activated at (0,1) for Lettuce
